domain	subdomain	ko_KR	en_XX
일상생활	음식	멋진 음식 탐험이었습니다!	That was one great food adventure!
뉴스	사회,장애인	아버지는 딸이 자신의 뒤를 이어 약사가 되기를 기대했다.	The father expected his daughter to be a pharmacist like him.
법률	법률연구	마찬가지로 18세기 후반에도 엄청나게 증대된 지식 양을 관리할 수 있는 방법의 필요성을 인식하고 있었다.	Likewise, in the second half of the 18th century, they recognized the need for a way to manage the vastly increased amount of knowledge.
사무용 기계 및 장비 제조업	청구항	기판과, 그 기판 상에 설치되며 자신의 신뢰성을 검증하기 위한 시큐리티 기능부를 갖는 보안 문서로서, 상기 시큐리티 기능부는, 광 방사 기능을 갖는 광원과, 상기 광원으로부터의 광을 편향, 반사, 편광 및/또는 부분 수광하기 위한 광 처리 디바이스를 포함하는 것을 특징으로 하는 보안 문서.	A security document with a substrate and a security feature arranged on the substrate for verifying the authenticity of the security document, wherein the security feature comprises a light source, by means of which light can be emitted, and a light processing device for deflecting, reflecting, polarizing and/or partially absorbing the light from the light source.
구어체	구어체	그녀는 지금까지도 그림을 잘 그리고 사람들을 잘 도와줍니다.	She has been drawing a picture well and gladly helping people until now.
세계	문화_문화재	이어 이윤재·허웅 선생 기념관, 시립박물관, 인도박물관, 농업박물관, 장군차박물관 등 7곳도 2022년까지 박물관으로 등록되도록 최선을 다한다는 방침이다.	In addition, seven places such as The Lee Yoon Jae, Heung Teacher Memorial Hall, City Museum, Indian Museum, Agricultural Museum, and General Tea Museum will also do their best to be registered as museums by 2022.
예술	무용	이러한 송석하의 자료들이 진주 오광대를 복원하는데 큰 영향을 미쳤음을 짐작할 수 있다.	It can be assumed that these materials of Seok-ha Song had a great influence on the restoration of Jinju Ogwangdae.
travel	관광	초등학생을 위한 방과후 어린이강좌도 가야금, 해금 2개 강좌가 운영될 예정이다.	Two courses, gayageum and haegeum, are scheduled for after-school children's classes for elementary school students.
법률	법률연구	개정 전의 규정과 현재의 규정 중 여러 유형이 혼재된 형태로 볼 수 있다.	It can be seen as a mixture of several types of regulations before the revision and the current regulations.
산업용 냉장 및 냉동장비 제조업	청구항	극저온 냉각 배열체(cryogenic cooling arrangement)로서, - 극저온유체 탱크(cryogen tank)(14); - 상기 극저온유체 탱크(14)의 내부에 노출된 열 교환기(heat exchanger); - 상기 열 교환기(13)와 열 접촉하는 극저온 재응축 냉동기(recondensing refrigerator)(12); 및 - 냉각된 물품(article)(10)으로부터 상기 극저온유체 탱크로 열을 전도시키기 위한 배열체(16; 26)를 포함하는 극저온 냉각 배열체에 있어서, 상기 극저온 냉각 배열체는 수축부(constriction)를 통해 상기 극저온유체 탱크에 링크된(linked) 추가의 극저온유체 탱크(20)를 포함하고, 상기 추가의 극저온유체 탱크는 상기 열 교환기 상에서 재응축되는 극저온유체 액체(cryogen liquid)를 수용하도록 유체 연결되고, 상기 추가의 극저온유체 탱크(20)는 컴포넌트들(components)(21)을 수용하며, 이에 의해 상기 컴포넌트들은 상기 추가의 극저온유체 탱크에 수용된 극저온유체 액체에 의해 냉각되는 것을 특징으로 하는, 극저온 냉각 배열체.	A cryogenic cooling arrangement comprising:- a cryogen tank (14);- a heat exchanger exposed to an interior of the cryogen tank (14) ;a cryogenic recondensing refrigerator (12) in thermal contact with the heat exchanger (13) and- an arrangement (16; 26) that conducts heat from a cooled article (10) to the cryogen tank,characterised in that the cryogenic cooling arrangement comprises a further cryogen tank (20) linked to the cryogen tank through a constriction, the further cryogen tank being fluidly connected to receive cryogen liquid recondensed on the heat exchanger, the further cryogen tank (20) housing components (21), whereby said components are cooled by cryogen liquid received in the further cryogen tank.
해외고객과의채팅	연구개발,과학기술	그래서 AAA1 대리님도 파티에 함께하시면 좋을 것 같은데.	So, I think it would be nice if Deputy AAA1 joined the party.
기술과학	빅데이터	수정될 비트들의 수정은 하나 이상의 비트를 설정하고, 하나 이상의 비트를 삭제하고/하거나, 하나 이상의 비트를 반전시킴으로써 수행될 수 있다.	Modification of the bits to be modified may be performed by setting one or more bits, deleting one or more bits, and/or inverting one or more bits.
글로벌동향정보	건강식품류	이 두 가지 사료 공급 방식은 A:P와 메탄 생산의 비율을 감소시키므로 Mon 첨가로 인한 한계 개선 가능성은 높은 마초 사료를 급여할 때보다 적다.	Both these feeding practices also decrease the ratio of A:P and methane production, and hence the potential for marginal improvement from addition of Mon is less than when high-forage diets are fed.
경제	경제경영	그 결과로, 다양한 민간 자본에 의한 부담 가능 주택의 확충이 성공적으로 이루어지고 있다.	As a result, the expansion of affordable housing by various private capital is successfully being achieved.
기타 반도체 소자 제조업	제목	랜드 그리드 어레이형 패키지	Land grid array package
지자체웹사이트	경기도	먼저 PC와 다양한 스마트폰에서 모두 학습이 가능하도록 학습관리시스템을 개발했고, 학습자들의 다양한 학습요구에 부응하기 위해 고품질 지식 콘텐츠를 현대경제연구원과 제휴하여 연간 3,000편 이상 편성하였다.	First, a learning management system was developed to enable learning on both PCs and various smartphones, and in order to meet the diverse learning needs of learners, more than 3,000 pieces of high quality knowledge contents were organized annually in cooperation with the Hyundai Research Institute.
해외고객과의채팅	숙박,음식점	팬케이크는 쌀, 밀가루, 계란, 파로 만들어요.	The pancakes are made of rice, wheat flour, eggs, and green onions.
관광	호텔관광	예를 들면, 국가 브랜드의 후광효과를 활용하는 거시적인 마케팅 활동을 고려해 볼 만하다.	For example, it is worth considering macro marketing activities that utilize the halo effect of national brands.
문화	공연	영상으로의 재현은 공연의 대체재로 인식되면서 유일한 공연으로서 자리매김 되어 버린다.	Representation in the video is recognized as a substitute for the performance and is positioned as the only performance.
기술과학	IT	실행 노드는 복수 개의 인접 노드 각각에 요청을 전송하고, 복수 개의 인접 노드 각각으로부터 인접 인증데이터를 수신한다.	The execution node transmits a request to each of the plurality of neighboring nodes, and receives neighboring authentication data from each of the plurality of neighboring nodes.
해외영업	도소매유통	리모델링 아이디어를 내기가 어렵습니다.	I'm having a hard time coming up with remodeling ideas.
it_and_tech	IT/기술	메리디안은 오디오 분야에서 아날로그와 디지털 기술을 조화롭게 접목시키는 것으로 명성이 높아 자동차브랜드 '레인지로버(Range Rover)'의 '3D 서라운드 사운드시스템'을 설계하기도 했다.	Meridian has a reputation for harmonious grafting analog and digital technologies in the audio field, so has designed the '3D surround sound system' of the car brand 'Range Rover'.
교육	대학교육	중요도와 실행도가 모두 낮은 [저순위 영역]에는 자유로운 교재 개발 및 사용이 위치하고 있다.	Free textbook development and use are located in the lower priority areas where both the importance and execution are low.
위해식품정보	축수산물	점막 보강제가 있는 면역화된 병아리 그룹에서 각 그룹의 병아리 5마리 중 2마리가 ND에 기인하는 특정 임상 징후로 사망했다.	In the immunized group of chicks with mucosal adjuvants, two out five chicks in each group died with specific clinical signs attributive to ND.
글로벌동향정보	식품일반	sCD163 수준은 일반적으로 말라리아 감염 동안 증가하다.	sCD163 levels are generally increased during a malaria infection.
뉴스	경제,경제일반	청년들을 위한 행복주택 역시 조건이 까다로워 만만치 않습니다.	Happy houses for young people are also very difficult to deal with due to the strict conditions.
일상생활	음식	그렇게 말씀해 주시니 고맙네요, 전 BBB에 가는 걸 추천해요.	That's great to hear, so I recommend you go to BBB.
교육	초중고등교육	상기시켜주는 것으로, 하급 지자체들은 집행 계획을 수립하고 광역지자체는 실행 계획을 수립한다.	As a reminder, low-level governments establish execution plans, and municipal governments establish action plans.
위해식품정보	식품일반	또한, 이러한 τ2 값은 라텍스 비드에 대해 얻은 값보다 높았으며 이는 아래에서 논의되는 바와 같이 바이러스 입자의 거동이 더 복잡하다는 것을 나타낸다.	Furthermore, these τ2 values were higher than those obtained for latex beads, revealing that the behavior of viral particles was more complex, as discussed below.
세계	사회_환경	남미 지역에서는 농작물 재배와 가축 사육을 위해 풀밭을 태우는 관행 때문에 화재가 빈발하고 있으며, 최근에는 건조한 날씨와 강풍으로 인해 불길이 확산되는 양상을 보이고 있다.	Fires are common in South America due to the practice of burning grass for crop cultivation and livestock raising, and the fire recently spread due to dry weather and strong winds.
sports	스포츠	하지만 최근까지 셋업맨 구실을 맡아온 만큼 경기를 매조져야 하는 마무리 투수로 안착하기 위해선 또 다른 무기가 필요하다.	However, as he has been a setup man until recently, he needs another weapon to settle as a closing pitcher who has to finish the game.
기후	기후	저탄소 녹색 성장 기본법 제2조 12호에서도 기후 변화란 사람의 활동으로 인하여 온실가스의 농도가 변함으로써 상당 기간 관찰되어 온 자연적인 기후 변동에 추가로 일어나는 기후 체계의 변화로 정의하고 있다.	The Framework Act on Low Carbon Green Growth also defines climate change as a change in the natural climate change observed for a considerable period of time due to changes in the concentration of greenhouse gases caused by human activity.
교육	초중고등교육	아이러니하게도 하이젠베르크는 그 곳에서 청중에게 그의 새로운 연구에 대해서는 언급하지 않았다.	Ironically, Heisenberg did not speak about his new work to the audiences there.
law	대법원판례	가처분에 의하여 보전된 임차권으로써 그 가처분 후 경료된 근저당권설정 등기의 말소청구 가부.	Whether it is possible to request the cancellation of the registration of establishing a base mortgage right that has been completed after the provisional disposition as a lease preserved through provisional disposition.
위해식품정보	축수산물	약 1g의 맹장 내용물을 부검으로 수집하고, 연속적으로 희석하고, 40㎍/ml 세포페라존, 40㎍/ml 반코마이신, 10㎍/ml 트리메토프림 및 100㎍/ml 사이클로헥시미드를 함유하는 선택적 BA 배지에 플레이팅하였다.	Approximately 1 g of cecal contents was collected by necropsy, serially diluted, and plated on selective BA media containing 40 μg/ml cefoperazone, 40 μg/ml vancomycin, 10 μg/ml trimethoprim, and 100 μg/ml cycloheximide.
교육	초중고등교육	우리는 이제 건설할 기하학에서 비유클리드적 변위라고 부르는 결정적인 단계를 밟는다.	We now take the decisive step in the geometry to be constructed, called non-Euclidean displacement.
교육	초중고등교육	따라서 결과적으로 수학적 창의인성검사도구의 타당성과 신뢰성을 높였다.	The validity and reliability of the mathematical creativity test tool were improved.
일상생활	여행	항상 가져갈 것이 너무 많아요.	There's always a lot of things to bring.
글로벌동향정보	건강식품류	각 실험에는 처리되지 않은 신선한 덩어리 하나를 대조군으로 사용했다.	For each experiment one untreated lot of fresh mass was ensiled as a control.
기후	기후	포집된 이산화탄소를 지하 암석층에 안전하고 환경 친화적으로 지중 저장할 수 있도록 국가적 차원의 승인과 관리 시스템 및 피해자 보호를 위한 책임 체계가 마련되어야 한다.	A national approval and management system and a responsibility system for the protection of victims shall be established to ensure safe and environmentally friendly underground storage of collected carbon dioxide in underground rock layers.
해외고객과의채팅	연구개발,과학기술	"귀사의 카달로그에서 ""토탈 솔루션""이라는 기술을 보고 연락드립니다."	"I'm contacting you after seeing a technology called ""total solution"" in your catalogue."
교육	교육공학	교수설계자도 교사와 학생의 요구를 정확히 이해하지 못한다면 현장 적용과 확산 가능성이 높은 수업모형을 개발하기 어렵다.	It is difficult for instructional designers to develop instructional models with high potential for field application and diffusion unless they accurately understand teachers and students' needs.
해외영업	숙박,음식점	제 요청에 대한 조치를 취하는 대신 몇 가지 변명을 했습니다.	Instead of taking action for my request, several excuses were given to me.
뉴스	경제,반도체	경북도와 대구시가 4년간 1000억원을 투입하는 상생 인재 양성 프로젝트에서 SK하이닉스 관련 전문인력을 우선 육성한다는 방침이다.	In the project to nurture talent, which will cost North Gyeongsang Province and Daegu City 100 billion won over four years, SK Hynix-related professionals will be promoted first.
세계	문화_예술	이러한 당국의 방침에 따라 도덕교육의 전면에는 공산통치기간중 자라나 이같은 가치들에 대해 설득력을 갖지 못한 부모세대보다는 학교와 교사들이 나서주도록 요청받고 있다.	According to the policy of these authorities, schools and teachers are being asked to step forward in the front of moral education, rather than the generation of parents who grew up during the communist rule and did not have persuasive values for these values.
조례	마포구	안전점검 업무를 위탁받고자 하는 자는 별지 제3호서식의 옥외광고물등 안전점검 업무 위탁지정신청서를 구청장에게 제출하여야 한다.	Any person who intends to be entrusted with safety inspection shall submit to the head of the Gu an application for designation entrusted with affairs related to safety inspection of outdoor advertisements, etc. in attached Form 3.
해외고객과의채팅	정보통신	저희 웹사이트에 별도로 등록할 수 있는 증명서를 갖고 싶습니다.	I'd like have a certificate that may be registered to our website separately.
세계	문화_예술	"AAA의 1951년 작 ""FFF""도 소장자가 원하는 최저 가격 1천400만 달러에 못 미쳐 팔리지 않았다."	"AAA's 1951 film ""FFF"" didn't even sell for less than the collector's price tag of $14 million."
의학	병리학	간에서 혈청 GDF15를 증가시키면 비알코올성 지방간염과 간섬유화의 증상을 줄일 수 있다는 것을 발견했다.	We and others have found that increased serum GDF15 from the liver can reduce the symptoms of nonalcoholic steatohepatitis and liver fibrosis.
해외영업	도소매유통	매일 운동할 수 있는 충분한 여력이 있습니다.	You have plenty of room to exercise every day.
경제	산업경제	각 개인이 갖춘 직무 능력 정도를 뒤돌아보며 평생 학습을 수강하고 자격 검정을 통해서 산업의 기술 변화에 빠르게 적응했음을 인정받고 산업 현장에서는 바로 적용이 가능하다는 것을 나타내는 것이다.	It is recognized that each individual has taken lifelong learning and quickly adapted to changes in industry skills through qualification tests, looking back on the degree of job skills each individual has, indicating that it can be applied directly in the industrial field.
위해식품정보	식품일반	암컷은 성페로몬 세리코닌을 생성하며, 생성된 양은 출현 후 4-5일에 최고조에 달한다.	The female produces the sex pheromone serricornin, with amounts produced peaking 4–5 days after emergence.
정치	국방외교	AAA1의 대중 전략으로 인해 중국 내에서는 차라리 AAA2 시절이 덜 위협적이었다는 목소리가 높아지고 있다.	AAA1's popular strategy has raised voices in China that the days of AAA2 were less threatening.
경제	조세재정	행정 권한의 분배는 재정의 분배와 직접적인 관련성을 가지고 있다.	The distribution of administrative authority is directly related to the distribution of finances.
기계	재료공학	투과액을 배수관으로 운반시켜 농축시키고, 측정 및 샘플 수거를 위해 안정화시키기 위해 재생 탱크로 다시 운반시켰다.	The permeate was conveyed to a drain pipe to concentrate and returned to the regeneration tank to stabilize for measurement and sample collection.
세계	사회_의료	"그는 그러나 ""이 환자의 상태가 심각한 편이 아니라는 점이 중요하다""고 덧붙였다."	"However, he added, ""It is important that the patient's condition is not serious."""
해외영업	도소매유통	따뜻하고 쾌적한 무공해 청결난방입니다.	It is a warm and pleasant pollution-free clean heating.
의학	내과학	그러나 안타깝게도 ACQ-6 점수나 급성 악화의 빈도 감소, FEV1의 호전을 보이지 못 했다.	Unfortunately, the ACQ-6 score, the frequency of acute exacerbations, and FEV1 did not improve.
해외고객과의채팅	숙박,음식점	무엇을 위해 예약하는지 여쭤봐도 될까요?	May I ask what you're making a reservation for?
의학	내과학	요약하면, HHT 환자는 혈전증 및 출혈의 위험이 높으며, 관상 동맥의 공격적인 혈전증 처럼 HHT의 혈전 합병증이 매우 중요할 수 있다.	In summary, patients with HHT have high risks of thrombosis and hemorrhage, and the thrombotic complications of HHT can be critical, such as aggressive thrombosis in the coronary arteries.
전기	에너지	마찬가지의 조건에서 2사이클 충방전을 행하고, 2사이클째의 방전 용량을 측정하였다.	Two cycles of charge and discharge were performed under the same conditions, and the discharge capacity at the second cycle was measured.
전자	무선통신	도 24는 제어신호를 전송할 전자 프레임을 선택하는 실시 예를 설명하기 위한 개념도이다.	FIG. 24 is a conceptual view illustrating an embodiment of selecting an electronic frame to which a control signal is to be transmitted.
의학	내과학	생존 곡선 및 생존에 대한 예측 인자는 Kaplan-Meier 방법과 Cox의 회귀 테스트를 사용하여 평가되었다.	Survival curves and prognostic factors for survival were evaluated using the Kaplan-Meier method and Cox's regression test.
정치	국방외교	북한은 인민군대를 '백두산 혁명강군'으로 불렀으며 백두산 대국 진입을 위한 선봉으로 내세웠다.	North Korea called the People's Army the 'revolutionary strong army of Mt. Baekdu' and set it as a vanguard for entering the great power of Mt. Baekdu.
해외영업	도소매유통	설명에 있는 사진도 변경하면 안 됩니다.	The photos in the description also should not be altered.
해외영업	연구개발,과학기술	이야기하기를 고대합니다.	I look forward to talking to you.
기술과학	빅데이터	웹 사이트(206)를 보면서, 사용자(202)는 모바일 디바이스(204)의 사용자 인터페이스 (208)에 제시된 제1 선택 가능한 요소(212)를 식별할 수 있다.	Viewing the website 206, the user 202 may identify a first selectable element 212 presented in the user interface 208 of the mobile device 204.
지자체웹사이트	경기도	김문수 경기도지사가 해외 국회의원들에게 통일을 위한 대한민국의 노력을 알리는데 앞장섰다.	Gyeonggi Province Governor Kim Moon-soo took the lead in informing overseas lawmakers of the Republic of Korea's efforts to reunify the country.
경제	경제경영	중소기업보다 영세기업에서 더욱 비중이 높게 나타나고 있다.	The proportion of small businesses is higher than that of SMEs.
기계	동력기관	이러한 경우, 제1 카메라의 광각과 제2 카메라의 광각은 동일할 수 있다.	In this case, a wide angle of the first camera may be equal to that of the second camera.
의학	내과학	All rightptysis, 비대성 폐골관절병증, 저혈당이 발생할 수 있다.	All rightsptysis, hypertrophic pulmonary osteoarthropathy, and hypoglycemia may occur.
해외영업	기계장비,의료정밀	"""비즈니스용"" 섹션을 선택하고 ""최신 거래""를 찾아 최고의 FFF 딜을 찾으세요."	"Select the ""for business"" section and look for ""latest deals"" to find out the best FFF deals for you."
교육	대학교육	이 의미는 근대철학의 합리주의 인식론에서 지성을 객관적 인과율적 체계와 법칙을 파악하는 능력으로 설명하는 것과 연결된다.	This meaning is connected with the explanation of intelligence in the rationalist epistemology of modern philosophy as the ability to grasp objective causal systems and laws.
세계	사회_환경	기름 유출로 피해를 본 앨라배마, 플로리다, 루이지애나, 미시시피, 텍사스 등 미국의 5개 주에는 50억 달러(약 5조 8천억 원)를 배상한다.	Alabama, Florida, Louisiana, Mississippi, and Texas will each receive $5 billion (approximately 5.8 trillion won) in compensation for the oil spill's damages.
해외고객과의채팅	도소매유통	알겠습니다, 지금 주문서 수량 수정해드리겠습니다.	All right, I am changing the quantity on the order form now.
해외영업	도소매유통	화면 끄기로 화면을 끌 수 있습니다.	You can turn off the screen by turning off the screen.
연구평가정보	가공식품	정상적인 유형 1 섬유소 발현은 lrp 유전자의 기능적 사본을 운반하는 플라스미드의 녹아웃 돌연변이체에 도입된 후 회복되었다.	Normal type 1 fimbrial expression was restored following the introduction into the knockout mutant of a plasmid carrying a functional copy of the lrp gene.
뉴스	경제,산업_기업	부산시가 스포츠융복합산업을 선도하기 위해 예산 172억원을 투입한다.	Busan City will input KRW 17.2 billion in budget to lead the sports convergence industry.
해외고객과의채팅	금융,보험	해당 고객님의 가족분들이 등록을 하시면 대리로 할 수 있어서 그 점도 마음에 들구요.	I also like the fact that I can act as a representative if your family registers.
일상생활	예약	제안해주실 것이 있으면 미리 말씀해 주세요.	If you have any suggestions, please let me know in advance.
folk_and_food	향토문화/음식	1999년에는 일본 3개 팀을 비롯하여 타이완·중국·멕시코·말레이시아·캐나다가 참가하였으며, 2000년에는 일본 2개 팀을 비롯하여 태국·과테말라·티베트·세네갈이 공연을 펼쳤다.	In 1999, including three teams from Japan, Taiwan, China, Mexico, Malaysia, and Canada participated, and in 2000, including two teams from Japan, Thailand, Guatemala, Tibet, and Senegal performed.
그 외 기타 식료품 제조업	청구항	효소들을 불활성화시키도록 캐놀라 기름종자들을 열처리하는 단계; 캐놀라 기름종자들을 탈피하는 단계; 및 캐놀라 기름종자밀을 제공하도록 열처리되고 탈피된 기름종자들로부터 캐놀라 기름을 제거하는 단계를 포함하는 캐놀라 기름종자밀을 형성하는 방법.	A method of forming a canola oil seed meal, which comprises: heat treating the canola oil seeds to deactivate enzymes therein, dehulling the canola oil seeds, and removing canola oil from the heat treated and dehulled oil seeds to provide said canola oil seed meal.
세계	국제기구	AAA 여사는 이날 어깨를 드러내고, 허리선을 강조한 흰색 원피스 위에 알록달록한 꽃무늬로 장식된 BBB의 재킷을 입어 한껏 멋을 냈다.	With this time, AAA showed off her arms and wore a BBB jacket embellished with colorful flowery patterns on a white gown that emphasized the waist, and she looked gorgeous.
세계	사회_환경	"그는 또 ""파리기후변화협약은 세계 기후 정책의 기본적인 원칙을 정의한 정치적 문서""라며 ""카토비체에서 파리기후변화협약의 원칙을 이행하기 위한 매뉴얼을 만들어야 한다""고 주장했다."	The Paris Agreement on Climate Change is a political document that defines the fundamental concepts of international climate policy, he stated.
해외영업	부동산	엄마는 모든 찬장을 살펴보라고 하셨습니다.	My mom said to look in all the cupboards.
전기	에너지	세 흡수 피크 모두 본 발명의 전극에 전도성 고분자가 포함되어 있음을 시사한다.	All three absorption peaks suggest that the electrode of the present invention contains a conductive polymer.
그 외 기타 특수 목적용 기계 제조업	초록	기판에 이물이 부착되는 것을 억제할 수 있는, 동력 작업기를 제공한다. 본 발명의 전동 작업기는 브러시리스 모터의 동력으로 선단 공구를 동작시키는 전동 작업기로서, 브러시리스 모터를 수용하는 작업기 본체와 작업기 본체에 설치되고 기판 홀더 98과 커버 96을 맞춤으로써 내부에 수용실 159를 형성하는 표시판 케이스 141과 표시판 케이스 151 수용실 159에 수용되는 조작 기판 91를 가진다.	To provide a power work machine that can suppress adhesion of a foreign matter to a board. A power work machine for driving a tip tool by power of a brushless motor includes: a work machine body for storing the brushless motor; a display board case 141 mounted to the work machine body and forming a storage chamber 159 inside thereof by coupling a board holder 98 to a cover 96; and an operation board 91 stored in the storage chamber 159 of the display board case 151.
위해식품정보	건강식품류	재조합 배큘로바이러스로 Hi-5 세포를 감염시켜 단백질을 과발현시켰고, 자가 조립된 바이러스 유사 입자를 먼저 수크로스 쿠션에서 순차적 초원심분리로 정제한 다음 CsCl 구배에서 정제하였다.	The proteins were overexpressed by infection of Hi-5 cells with recombinant baculovirus, and self-assembled virus-like particles were puriﬁed by sequential ultracentrifugation ﬁrst on a sucrose cushion and then in a CsCl gradient.
기후	기후	기술 수요자와 기술 공급자 간의 협상이 이루어지는 3단계와 기술 이행 계획을 준비하는 4단계를 통합하여 사업 기획 단계로 설정하고자 한다.	The third stage of negotiation between the technology consumer and the technology supplier is combined with the fourth stage of developing the technology implementation plan to form the business planning stage.
세계	사회_의료	12일 주칠레 한국대사관에 따르면 국내 모 기업에서 파견된 한 한국인 주재원의 초등학생 자녀 2명이 최근 신종플루에 걸려 병원에서 치료를 받았다.	According to the Korean Embassy in Chile on the 12th, two elementary school children of a Korean expatriate dispatched by a parent company in Chile were recently infected with the swine flu and were treated at the hospital.
위해식품정보	가공식품	모든 박테리오신은 민감한 박테리아를 죽이지만, 이들의 물리적 및 화학적 성질은 밀접하게 관련된 유기체에 의해 생성되는 것 사이에서도 상당히 다르다.	Although all bacteriocins kill the sensitive bacteria, their physical and chemical natures differ considerably even among those produced by closely related organisms.
해외영업	도소매유통	장치의 무게는 약 510g이고 백 포커스는 약 8cm입니다.	The device weighs about 510g and the back focus is about 8cm.
일상생활	예약	많은 업체가 신용카드를 선호해요.	A lot of places prefer credit cards.
위해식품정보	가공식품	거리 행렬은 뉴저지 놀스가 작성한 프로그램을 사용하여 계산되었으며 모든 쌍별 비교를 수행하여 각 염기 치환에 동일한 통계적 가중치를 부여했다.	Distance matrices were calculated using a program written by N. J. Knowles; all pairwise comparisons were performed giving each base substitution equal statistical weight.
위해식품정보	가공식품	이후 연구에서는 대사를 위해 아세틸-CoA 경로를 사용하지 않는 불완전 산화 황산염 환원 박테리아가 여전히 Hg를 메틸화할 수 있기 때문에 Hg 메틸화가 아세틸-CoA 경로와 무관할 수 있다고 제안했다.	Later studies suggested that Hg methylation may be independent of the acetyl-CoA pathway, as incomplete-oxidizing sulfate reducing bacteria that do not use the acetyl-CoA pathway for metabolism are still able to methylate Hg.
일상생활	음식	콩나물도 넣는 거래요.	They also said to put bean sprouts in it.
해외고객과의채팅	금융,보험	자사에서 귀사의 제품 배송을 안전하게 수출할 수 있습니다.	Your shipment of goods are still safe to export from our end here.
한국문화	한국국제문화교류진흥원	이들의 응원은 오전 6시 30분부터 시작해 대회가 끝날 때까지 계속됐다.	Their cheering began at 6:30 am and continued until the end of the competition.
전기	에너지	수표면의 중심부에 스컴이 모여 내부로 월류하고 외부로 배출되는 장점이 있다.	It has the advantage that scums are gathered at the center of the water surface to overflow inside and then discharge to outside.
travel	관광	깊은 달콤함에 약한 산미와 탄닌의 떫은맛이 아주 약하게 느껴졌고 가벼운 보디감으로 목넘김이 시원했다.	I felt a very weak taste of deep sweetness, mild acidity, and bitter taste of tannin, and it was cool on my throat with a light body.
뉴스	정치,외교	창과 방패, 우산장수와 소금장수처럼 접점을 찾기가 쉽지 않아 고민스럽다.	It is agonizing because it is not easy to find a point of contact like spear and shield, umbrella and salt longevity.
ICT	통신	사용자가 좌측 방향으로 핸드 제스처를 취하면 아바타는 가상 의상(708)을 착용한 상태로 표시될 수 있다.	If the user takes the hand gesture in the left direction, the avatar may be displayed in a state of wearing the virtual clothes 708.
연구평가정보	농산물	트러플 자실체에서 가장 흔한 황 함유 휘발성 물질은 디메틸 설파이드이며, 이는 현재까지 조사된 종의 85%에서 검출되었다.	The most common sulfur-containing volatile in truffle fruiting bodies is dimethyl sulfide, which has been detected in 85% of the species investigated to date.
글로벌동향정보	식품일반	질병이 없는 상태에서 이 단백질의 구성적 발현이 림프 기관과 중추신경계에 다소 제한적이고 제약적이기 때문에 이 발견은 주목할 만한다.	This ﬁnding is remarkable, since the constitutive expression of this protein in absence of disease is rather restricted and limited to lymphoid organs and the CNS.
해외영업	숙박,음식점	그리고 KTX 신경주역에서는 약 30분이 소요됩니다.	And it takes about 30 minutes from KTX Shin Kyungju Station.
해외고객과의채팅	도소매유통	다시 한 번 지불 금액을 체납하게 되어서 죄송하다는 말씀 드립니다.	Once again, I'm sorry for the arrears of the arrears of the payment.
ICT	통신	독출 바이어스 전압은 워드 라인 전압, 스트링 선택 라인 전압들, 접지 선택 라인 전압들 일 수 있다.	The read bias voltage may be a word line voltage, string selection line voltages, and ground selection line voltages.
의학	내과학	심초음파에서 모든 심방과 심실 용적 증가, 심각한 좌심실 수축기능 저하를 보였다.	Echocardiography showed an increase in all atrial and ventricular volumes and severe left ventricular contractile decline.
의학	가정의학	전복부벽에서 채취한 건강한 쥐의 복막은 표재성 중피층과 얇은 중피하층으로 구성되어 있다.	Healthy mouse peritoneum taken from the anterior adbominal wall consists of superﬁcial mesothelial layer and a thin submesothelial zone.
위해식품정보	식품일반	이러한 데이터는 SCD1이 바이러스 복제 부위에서 HCV 비구조 단백질과 함께 국소화되어 있음을 분명히 나타낸다.	These data clearly indicate that SCD1 is colocalized with HCV nonstructural proteins at the site of viral replication.
경제	금융	또 다른 방법으로는 연속형 변수를 범주화 하는 방법도 있다.	Another way is to categorize continuous variables.
세계	문화_문화재	정조가 세손 시절에 쓰기 시작한 존현각 일기에 뿌리를 둔 일성록은 정조 즉위 이후에는 국가의 공식 기록으로 편입됐다.	Ilseongnok, that will be rooted into the diary of Jonhyeongak, which King Jeongjo begun to compose as he was a three-generation son, ended up being incorporated into the official record of the state after King Jeongjo ascended towards the throne.
교육	평생교육	이와 같은 기준을 통해 최종적으로 분류된 놀이의 종류는 다음과 같다.	The types of play finally classified through these criteria are as follows.
관광	관광학	CSR 활동은 브랜드 애착이라는 매개변수를 통하여 전환비용에 영향을 미친 것으로 나타났다.	CSR activities were found to have an effect on conversion costs through the parameter of brand attachment.
뉴스	지역,지역일반	심민 임실군수는 해당 시설은 벤젠 등 특정 오염물질이 발생해 주민의 건강과 농작물 피해 등이 발생한다며 광주광역시의 일방적인 행정은 분노하지 않을 수 없다고 지적했다.	"Mayor of Imsil Shim min, pointed out, ""The facilities are subject to certain pollutants such as benzene, causing damage to residents' health and crops,"" adding, ""The unilaterial administration of Gwangju City invokes anger."""
관광	여행	실증적 연구만으로 춘천시의 캠핑관광에 대한 연구를 진행하기보다 질적·양적 방법의 통합적 접근의 연구가 요구된다.	An integrated approach of qualitative and quantitative methods is required on camping tourism in Chuncheon rather than relying solely on empirical research.
